Company Name,Symbol,% Funding provided under Pay Later (MTF)
"TIME TECHNOPLAST LTD.","TIMETECHNO","55"
"TIMKEN INDIA LTD.","TIMKEN","60"
"TIPS MUSIC LIMITED","TIPSMUSIC","50"
"THIRUMALAI CHEMICALS LTD","TIRUMALCHM","60"
"TITAGARH RAIL SYSTEMS LTD","TITAGARH","55"
"TITAN COMPANY LIMITED","TITAN","70"
"TAMILNAD MERCA BANK LTD","TMB","60"
"TAMILNADU NEWSPRT & PAPER","TNPL","45"
"TORRENT PHARMACEUTICALS L","TORNTPHARM","70"
"TORRENT POWER LTD","TORNTPOWER","60"
"TRANSRAIL LIGHTING LTD","TRANSRAILL","60"
"TRANSWORLD SHIP LINES LTD","TRANSWORLD","50"
"TRENT LTD","TRENT","60"
"TRIDENT LIMITED","TRIDENT","65"
"TRIVENI TURBINE LIMITED","TRITURBINE","50"
"TRIVENI ENGG. & INDS. LTD","TRIVENI","60"
"TTK PRESTIGE LTD","TTKPRESTIG","60"
"TVS HOLDINGS LIMITED","TVSHLTD","50"
"TVS MOTOR COMPANY  LTD","TVSMOTOR","70"
"TVS SUPPLY CHAIN SOL L","TVSSCS","60"
"TV TODAY NETWORK LTD","TVTODAY","55"
"UNITED BREWERIES LTD","UBL","70"
"UCO BANK","UCOBANK","55"
"UPDATER SERVICES LIMITED","UDS","50"
"UNITED FOODBRANDS LIMITED","UFBL","60"
"UFLEX LIMITED","UFLEX","50"
"UJJIVAN SMALL FINANC BANK","UJJIVANSFB","60"
"ULTRATECH CEMENT LIMITED","ULTRACEMCO","70"
"UNICHEM LABORATORIES LTD","UNICHEMLAB","55"
"UNITED DRILLING TOOLS LTD","UNIDT","50"
"UNICOMMERCE ESOLUTIONS L","UNIECOM","55"
"UNION BANK OF INDIA","UNIONBANK","60"
"UNITED SPIRITS LIMITED","UNITDSPR","70"
"UNO MINDA LIMITED","UNOMINDA","60"
"UPL LIMITED","UPL","65"
"USHA MARTIN LTD.","USHAMART","60"
"UTI ASSET MNGMT CO LTD","UTIAMC","65"
"UTIAMC - UTIBANKETF","UTIBANKETF","70"
"UTIAMC - UTINIFTETF","UTINIFTETF","75"
"UTKARSH SMALL FIN BANK L","UTKARSHBNK","60"
"VADILAL INDUSTRIES LTD","VADILALIND","50"
"VAIBHAV GLOBAL LIMITED","VAIBHAVGBL","60"
"VARROC ENGINEERING LTD.","VARROC","60"
"VARUN BEVERAGES LIMITED","VBL","65"
"VEDANTA LIMITED","VEDL","55"
"VENKY S (INDIA) LIMITED","VENKEYS","55"
"VENTIVE HOSPITALITY LTD","VENTIVE","50"
"VENUS PIPES & TUBES LTD","VENUSPIPES","55"
"VESUVIUS INDIA LTD","VESUVIUS","55"
"V-GUARD IND LTD.","VGUARD","65"
"VIJAYA DIAGNOSTIC CEN LTD","VIJAYA","60"
"VIMTA LABS LIMITED","VIMTALABS","0"
"VINATI ORGANICS LTD","VINATIORGA","60"
"VIP INDUSTRIES LTD","VIPIND","65"
"VISHNU CHEMICALS LIMITED","VISHNU","50"
"VMART RETAIL LTD","VMART","65"
"VISHAL MEGA MART LIMITED","VMM","60"
"VOLTAMP TRANSFORMERS LTD","VOLTAMP","55"
"VOLTAS LTD","VOLTAS","65"
"VISHNU PRAKASH R PUNGLI L","VPRPL","60"
"VRL LOGISTICS LIMITED","VRLLOG","55"
"VST INDUSTRIES LTD","VSTIND","60"
"VST TILLERS TRACTORS LTD","VSTTILLERS","55"
"VARDHMAN TEXTILES LIMITED","VTL","60"
"WAAREE ENERGIES LIMITED","WAAREEENER","40"
"WAAREE RENEWABLE TECH LTD","WAAREERTL","40"
"VA TECH WABAG LTD","WABAG","50"
"WEBSOL ENERGY SYSTEM LTD","WEBELSOLAR","50"
"WELSPUN CORP LIMITED","WELCORP","60"
"WELSPUN ENTERPRISES LTD.","WELENT","60"
"WELSPUN LIVING LIMITED","WELSPUNLIV","55"
"WENDT (INDIA) LIMITED","WENDT","50"
"WESTLIFE FOODWORLD LTD","WESTLIFE","55"
"WHIRLPOOL OF INDIA LTD","WHIRLPOOL","60"
"WINDLAS BIOTECH LIMITED","WINDLAS","50"
"WIPRO LTD","WIPRO","70"
"WOCKHARDT LIMITED","WOCKPHARMA","40"
"WONDERLA HOLIDAYS LTD.","WONDERLA","65"
"WEST COAST PAPER MILLS LT","WSTCSTPAPR","55"
"XPRO INDIA LIMITED","XPROINDIA","50"
"YATHARTH HOSP & TRA C S L","YATHARTH","65"
"YES BANK LIMITED","YESBANK","50"
"ZAGGLE PREPA OCEAN SER L","ZAGGLE","50"
"ZEE ENTERTAINMENT ENT LTD","ZEEL","50"
"ZENSAR TECHNOLOGIES  LTD","ZENSARTECH","55"
"ZF COM VE CTR SYS IND LTD","ZFCVINDIA","55"
"ZYDUS LIFESCIENCES LTD","ZYDUSLIFE","70"
"ZYDUS WELLNESS LIMITED","ZYDUSWELL","60"
