Company Name,Symbol,% Funding provided under Pay Later (MTF)
"BRIGADE ENTER. LTD","BRIGADE","60"
"BRITANNIA INDUSTRIES LTD","BRITANNIA","70"
"ICICIPRAMC - ICICI500","BSE500IETF","70"
"ADITYBIRLA SL NIF ETF-GR","BSLNIFTY","75"
"BIRLASOFT LIMITED","BSOFT","65"
"CAMPUS ACTIVEWEAR LIMITED","CAMPUS","65"
"COMPUTER AGE MNGT SER LTD","CAMS","65"
"CANARA BANK","CANBK","65"
"CAN FIN HOMES LTD","CANFINHOME","65"
"CAPACITE INFRAPROJECT LTD","CAPACITE","55"
"CAPLIN POINT LAB LTD.","CAPLIPOINT","60"
"CARBORUNDUM UNIVERSAL LTD","CARBORUNIV","65"
"CARE RATINGS LIMITED","CARERATING","60"
"CARTRADE TECH LIMITED","CARTRADE","0"
"CARYSIL LIMITED","CARYSIL","60"
"CASTROL INDIA LIMITED","CASTROLIND","60"
"CCL PRODUCTS (I) LTD","CCL","0"
"CEAT LIMITED","CEATLTD","60"
"CEIGALL INDIA LIMITED","CEIGALL","60"
"CELLO WORLD LIMITED","CELLO","60"
"CEMINDIA PROJECTS LIMITED","CEMPRO","50"
"CENTURY ENKA LTD","CENTENKA","55"
"CENTRAL BANK OF INDIA","CENTRALBK","55"
"CENTURY PLYBOARDS (I) LTD","CENTURYPLY","60"
"CERA SANITARYWARE LTD","CERA","60"
"CESC LTD","CESC","65"
"CAPRI GLOBAL CAPITAL LTD","CGCL","55"
"CG POWER AND IND SOL LTD","CGPOWER","60"
"CHALET HOTELS LIMITED","CHALET","60"
"CHAMBAL FERTILIZERS LTD","CHAMBLFERT","60"
"CHEMCON SPECIAL CHEM LTD","CHEMCON","55"
"CHEMPLAST SANMAR LIMITED","CHEMPLASTS","50"
"CHENNAI PETROLEUM CORP LT","CHENNPETRO","55"
"CHOICE INTERNATIONAL LTD","CHOICEIN","50"
"CHOLAMANDALAM IN & FIN CO","CHOLAFIN","65"
"CHOLAMANDALAM FIN HOL LTD","CHOLAHLDNG","60"
"CIE AUTOMOTIVE INDIA LTD","CIEINDIA","60"
"CIGNITI TECHNOLOGIES LTD","CIGNITITEC","65"
"CIPLA LTD","CIPLA","70"
"CLEAN SCIENCE & TECH LTD","CLEAN","65"
"CMS INFO SYSTEMS LIMITED","CMSINFO","65"
"COAL INDIA LTD","COALINDIA","65"
"COCHIN SHIPYARD LIMITED","COCHINSHIP","0"
"COFORGE LIMITED","COFORGE","65"
"COHANCE LIFESCIENCES LTD","COHANCE","65"
"COLGATE PALMOLIVE LTD.","COLPAL","70"
"CONTAINER CORP OF IND LTD","CONCOR","65"
"CONCORD BIOTECH LIMITED","CONCORDBIO","50"
"COROMANDEL INTERNTL. LTD","COROMANDEL","65"
"COSMO FIRST LIMITED","COSMOFIRST","50"
"CPSE ETF","CPSEETF","70"
"CRAFTSMAN AUTOMATION LTD","CRAFTSMAN","55"
"CREDITACCESS GRAMEEN LTD","CREDITACC","60"
"CRISIL LTD","CRISIL","65"
"CROMPT GREA CON ELEC LTD","CROMPTON","65"
"CSB BANK LIMITED","CSBBANK","65"
"CITY UNION BANK LTD","CUB","65"
"CUMMINS INDIA LTD","CUMMINSIND","65"
"CYIENT LIMITED","CYIENT","60"
"CYIENT DLM LIMITED","CYIENTDLM","65"
"DABUR INDIA LTD","DABUR","70"
"DALMIA BHARAT LIMITED","DALBHARAT","70"
"DALMIA BHARAT SUG IN LTD","DALMIASUG","55"
"DAM CAPITAL ADVISORS LTD","DAMCAPITAL","50"
"DATAMATICS GLOBAL SER LTD","DATAMATICS","50"
"DATA PATTERNS INDIA LTD","DATAPATTNS","0"
"D.B.CORP LTD","DBCORP","50"
"DILIP BUILDCON LIMITED","DBL","55"
"VALOR ESTATE LIMITED","DBREALTY","50"
"DCB BANK LIMITED","DCBBANK","65"
